ot_id,event_id,timestamp,actividad,area,usuario,tipo_ot,prioridad,zona,canal_origen,es_loop,tipo_loop,duracion_horas_desde_evento_anterior,sla_objetivo_horas,estado_final,orden_evento,fecha_evento,dia_semana,hora_evento
OT_00001,OT_00001_EV_001,2026-01-15T02:08:47Z,WO creada,Atención al cliente,USR_01,Reparación,Media,Sur,Call center,0,NA,0,96,Cerrada,1,2026-01-15,miércoles,23
OT_00001,OT_00001_EV_002,2026-01-15T03:32:47Z,Validación inicial,Backoffice operativo,USR_17,Reparación,Media,Sur,Call center,0,NA,1.4,96,Cerrada,2,2026-01-15,jueves,0
OT_00001,OT_00001_EV_003,2026-01-15T04:12:23Z,Clasificación de WO,Backoffice operativo,USR_12,Reparación,Media,Sur,Call center,0,NA,0.66,96,Cerrada,3,2026-01-15,jueves,1
OT_00001,OT_00001_EV_004,2026-01-15T05:32:11Z,Asignación,Backoffice operativo,USR_07,Reparación,Media,Sur,Call center,0,NA,1.33,96,Cerrada,4,2026-01-15,jueves,2
OT_00001,OT_00001_EV_005,2026-01-15T12:20:11Z,Agenda coordinada,Backoffice operativo,USR_17,Reparación,Media,Sur,Call center,0,NA,6.8,96,Cerrada,5,2026-01-15,jueves,9
OT_00001,OT_00001_EV_006,2026-01-15T13:11:47Z,Trabajo iniciado,Técnico de campo,USR_03,Reparación,Media,Sur,Call center,0,NA,0.86,96,Cerrada,6,2026-01-15,jueves,10
OT_00001,OT_00001_EV_007,2026-01-15T17:21:59Z,Trabajo finalizado,Técnico de campo,USR_03,Reparación,Media,Sur,Call center,0,NA,4.17,96,Cerrada,7,2026-01-15,jueves,14
OT_00001,OT_00001_EV_008,2026-01-16T00:45:23Z,Validación de cierre,Supervisión de trabajo,USR_05,Reparación,Media,Sur,Call center,0,NA,7.39,96,Cerrada,8,2026-01-16,jueves,21
OT_00001,OT_00001_EV_009,2026-01-16T01:27:59Z,WO cerrada,Backoffice operativo,USR_17,Reparación,Media,Sur,Call center,0,NA,0.71,96,Cerrada,9,2026-01-16,jueves,22
OT_00002,OT_00002_EV_001,2026-01-10T15:44:51Z,WO creada,Atención al cliente,USR_01,Reparación,Baja,Este,Comercial,0,NA,0,168,Cerrada,1,2026-01-10,sábado,12
OT_00002,OT_00002_EV_002,2026-01-10T16:11:15Z,Validación inicial,Backoffice operativo,USR_07,Reparación,Baja,Este,Comercial,0,NA,0.44,168,Cerrada,2,2026-01-10,sábado,13
OT_00002,OT_00002_EV_003,2026-01-10T16:40:39Z,Clasificación de WO,Backoffice operativo,USR_27,Reparación,Baja,Este,Comercial,0,NA,0.49,168,Cerrada,3,2026-01-10,sábado,13
OT_00002,OT_00002_EV_004,2026-01-10T19:28:39Z,Asignación,Backoffice operativo,USR_17,Reparación,Baja,Este,Comercial,0,NA,2.8,168,Cerrada,4,2026-01-10,sábado,16
OT_00002,OT_00002_EV_005,2026-01-11T04:16:03Z,Agenda coordinada,Backoffice operativo,USR_27,Reparación,Baja,Este,Comercial,0,NA,8.79,168,Cerrada,5,2026-01-11,domingo,1
OT_00002,OT_00002_EV_006,2026-01-11T07:54:27Z,Trabajo iniciado,Técnico de campo,USR_13,Reparación,Baja,Este,Comercial,0,NA,3.64,168,Cerrada,6,2026-01-11,domingo,4
OT_00002,OT_00002_EV_007,2026-01-11T08:38:51Z,Trabajo finalizado,Técnico de campo,USR_18,Reparación,Baja,Este,Comercial,0,NA,0.74,168,Cerrada,7,2026-01-11,domingo,5
OT_00002,OT_00002_EV_008,2026-01-11T21:05:15Z,Validación de cierre,Supervisión de trabajo,USR_30,Reparación,Baja,Este,Comercial,0,NA,12.44,168,Cerrada,8,2026-01-11,domingo,18
OT_00002,OT_00002_EV_009,2026-01-11T21:55:03Z,WO cerrada,Backoffice operativo,USR_12,Reparación,Baja,Este,Comercial,0,NA,0.83,168,Cerrada,9,2026-01-11,domingo,18
OT_00003,OT_00003_EV_001,2026-03-30T11:08:03Z,WO creada,Atención al cliente,USR_21,Instalación,Baja,Este,Call center,0,NA,0,168,Cerrada,1,2026-03-30,lunes,8
OT_00003,OT_00003_EV_002,2026-03-30T13:18:15Z,Validación inicial,Backoffice operativo,USR_12,Instalación,Baja,Este,Call center,0,NA,2.17,168,Cerrada,2,2026-03-30,lunes,10
OT_00003,OT_00003_EV_003,2026-03-30T14:21:15Z,Clasificación de WO,Backoffice operativo,USR_07,Instalación,Baja,Este,Call center,0,NA,1.05,168,Cerrada,3,2026-03-30,lunes,11
OT_00003,OT_00003_EV_004,2026-03-30T18:26:39Z,Asignación,Backoffice operativo,USR_07,Instalación,Baja,Este,Call center,0,NA,4.09,168,Cerrada,4,2026-03-30,lunes,15
OT_00003,OT_00003_EV_005,2026-04-01T00:48:51Z,Agenda coordinada,Backoffice operativo,USR_17,Instalación,Baja,Este,Call center,0,NA,30.37,168,Cerrada,5,2026-04-01,martes,21
OT_00003,OT_00003_EV_006,2026-04-01T02:02:39Z,Trabajo iniciado,Técnico de campo,USR_28,Instalación,Baja,Este,Call center,0,NA,1.23,168,Cerrada,6,2026-04-01,martes,23
OT_00003,OT_00003_EV_007,2026-04-01T03:08:39Z,Trabajo finalizado,Técnico de campo,USR_28,Instalación,Baja,Este,Call center,0,NA,1.1,168,Cerrada,7,2026-04-01,miércoles,0
OT_00003,OT_00003_EV_008,2026-04-01T12:12:15Z,Validación de cierre,Supervisión de trabajo,USR_05,Instalación,Baja,Este,Call center,0,NA,9.06,168,Cerrada,8,2026-04-01,miércoles,9
OT_00003,OT_00003_EV_009,2026-04-01T12:47:39Z,WO cerrada,Backoffice operativo,USR_22,Instalación,Baja,Este,Call center,0,NA,0.59,168,Cerrada,9,2026-04-01,miércoles,9
OT_00004,OT_00004_EV_001,2026-02-03T23:08:10Z,WO creada,Atención al cliente,USR_11,Reparación,Baja,Sur,Web,0,NA,0,168,Cerrada,1,2026-02-03,martes,20
OT_00004,OT_00004_EV_002,2026-02-04T00:22:34Z,Validación inicial,Backoffice operativo,USR_22,Reparación,Baja,Sur,Web,0,NA,1.24,168,Cerrada,2,2026-02-04,martes,21
OT_00004,OT_00004_EV_003,2026-02-04T01:19:34Z,Clasificación de WO,Backoffice operativo,USR_17,Reparación,Baja,Sur,Web,0,NA,0.95,168,Cerrada,3,2026-02-04,martes,22
OT_00004,OT_00004_EV_004,2026-02-04T07:47:46Z,Asignación,Backoffice operativo,USR_17,Reparación,Baja,Sur,Web,0,NA,6.47,168,Cerrada,4,2026-02-04,miércoles,4
OT_00004,OT_00004_EV_005,2026-02-04T13:33:58Z,Agenda coordinada,Backoffice operativo,USR_27,Reparación,Baja,Sur,Web,0,NA,5.77,168,Cerrada,5,2026-02-04,miércoles,10
OT_00004,OT_00004_EV_006,2026-02-04T14:23:46Z,Trabajo iniciado,Técnico de campo,USR_08,Reparación,Baja,Sur,Web,0,NA,0.83,168,Cerrada,6,2026-02-04,miércoles,11
OT_00004,OT_00004_EV_007,2026-02-04T15:40:34Z,Trabajo finalizado,Técnico de campo,USR_18,Reparación,Baja,Sur,Web,0,NA,1.28,168,Cerrada,7,2026-02-04,miércoles,12
OT_00004,OT_00004_EV_008,2026-02-04T19:52:34Z,Validación de cierre,Supervisión de trabajo,USR_05,Reparación,Baja,Sur,Web,0,NA,4.2,168,Cerrada,8,2026-02-04,miércoles,16
