ot_id,tipo_ot,prioridad,zona,canal_origen,sla_objetivo_horas,estado_final,fecha_creacion,fecha_cierre,lead_time_horas,cantidad_eventos,cantidad_loops,tuvo_loop,fuera_sla
OT_00001,Reparación,Media,Sur,Call center,96,Cerrada,2026-01-15T02:08:47Z,2026-01-16T01:27:59Z,23.32,9,0,0,0
OT_00002,Reparación,Baja,Este,Comercial,168,Cerrada,2026-01-10T15:44:51Z,2026-01-11T21:55:03Z,30.17,9,0,0,0
OT_00003,Instalación,Baja,Este,Call center,168,Cerrada,2026-03-30T11:08:03Z,2026-04-01T12:47:39Z,49.66,9,0,0,0
OT_00004,Reparación,Baja,Sur,Web,168,Cerrada,2026-02-03T23:08:10Z,2026-02-04T20:44:46Z,21.61,9,0,0,0
OT_00005,Mantenimiento,Baja,Este,Call center,168,Cerrada,2026-01-16T20:28:50Z,2026-01-17T12:03:02Z,15.57,9,0,0,0
OT_00006,Instalación,Crítica,Sur,Call center,24,Cerrada,2026-01-21T06:57:24Z,2026-01-22T16:29:12Z,33.53,9,0,0,1
OT_00007,Instalación,Media,Sur,Call center,96,Cerrada,2026-01-21T15:45:08Z,2026-01-22T20:12:08Z,28.45,9,0,0,0
OT_00008,Reparación,Media,Norte,Call center,96,Cerrada,2026-01-04T11:22:47Z,2026-01-10T05:32:23Z,138.16,19,10,1,1
OT_00009,Inspección,Media,Este,Comercial,96,Cerrada,2026-01-10T21:13:35Z,2026-01-12T01:50:47Z,28.62,9,0,0,0
OT_00010,Reparación,Alta,Oeste,Call center,48,Cerrada,2026-03-31T13:44:25Z,2026-04-01T15:50:25Z,26.1,9,0,0,0
OT_00011,Reparación,Alta,Este,Comercial,48,Cerrada,2026-02-08T16:15:39Z,2026-02-12T00:40:51Z,80.42,15,6,1,1
OT_00012,Mantenimiento,Media,Oeste,Sistema,96,Cerrada,2026-01-08T17:49:38Z,2026-01-11T07:19:02Z,61.49,13,4,1,0
OT_00013,Reparación,Media,Sur,Web,96,Cerrada,2026-01-31T15:15:51Z,2026-02-01T19:48:51Z,28.55,11,2,1,0
OT_00014,Inspección,Media,Este,Call center,96,Cerrada,2026-03-06T04:25:31Z,2026-03-07T05:57:19Z,25.53,9,0,0,0
OT_00015,Instalación,Media,Sur,Call center,96,Cerrada,2026-03-18T00:13:38Z,2026-03-19T08:07:38Z,31.9,9,0,0,0
OT_00016,Reparación,Baja,Norte,Web,168,Cerrada,2026-02-13T13:55:31Z,2026-02-14T16:30:19Z,26.58,11,2,1,0
OT_00017,Instalación,Baja,Norte,Web,168,Cerrada,2026-01-05T21:02:45Z,2026-01-06T15:19:33Z,18.28,9,0,0,0
OT_00018,Reparación,Media,Este,Call center,96,Cerrada,2026-03-07T09:51:07Z,2026-03-13T00:31:55Z,134.68,19,10,1,1
OT_00019,Reparación,Baja,Norte,Sistema,168,Cerrada,2026-02-14T07:01:16Z,2026-02-14T21:27:04Z,14.43,9,0,0,0
OT_00020,Instalación,Media,Sur,Sistema,96,Cerrada,2026-02-26T12:46:46Z,2026-02-28T09:23:22Z,44.61,13,4,1,0
OT_00021,Instalación,Media,Sur,Call center,96,Cerrada,2026-01-13T02:35:54Z,2026-01-14T12:49:42Z,34.23,9,0,0,0
OT_00022,Instalación,Media,Este,Web,96,Cerrada,2026-03-12T22:55:35Z,2026-03-15T08:54:23Z,57.98,11,2,1,0
OT_00023,Mantenimiento,Baja,Oeste,Call center,168,Cerrada,2026-02-08T04:12:16Z,2026-02-13T17:26:40Z,133.24,15,6,1,0
OT_00024,Reparación,Baja,Este,Call center,168,Cerrada,2026-03-03T04:10:58Z,2026-03-04T19:40:22Z,39.49,13,4,1,0
OT_00025,Reparación,Baja,Oeste,Comercial,168,Cerrada,2026-01-26T10:20:34Z,2026-01-29T12:43:22Z,74.38,11,2,1,0
OT_00026,Instalación,Crítica,Sur,Web,24,Cerrada,2026-01-02T13:17:54Z,2026-01-03T07:03:30Z,17.76,9,0,0,0
OT_00027,Instalación,Crítica,Este,Web,24,Cerrada,2026-02-11T21:49:45Z,2026-02-12T12:58:45Z,15.15,9,0,0,0
OT_00028,Instalación,Media,Oeste,Call center,96,Cerrada,2026-02-12T01:51:15Z,2026-02-15T17:36:15Z,87.75,13,4,1,0
OT_00029,Instalación,Baja,Este,Sistema,168,Cerrada,2026-03-18T02:22:41Z,2026-03-19T22:19:41Z,43.95,11,2,1,0
OT_00030,Instalación,Media,Sur,Call center,96,Cerrada,2026-03-11T14:59:51Z,2026-03-12T12:59:15Z,21.99,9,0,0,0
OT_00031,Mantenimiento,Alta,Norte,Web,48,Cerrada,2026-01-30T18:30:22Z,2026-02-01T21:35:10Z,51.08,9,0,0,1
OT_00032,Reparación,Media,Este,Comercial,96,Cerrada,2026-01-11T06:04:10Z,2026-01-13T09:15:34Z,51.19,13,4,1,0
OT_00033,Inspección,Baja,Norte,Comercial,168,Cerrada,2026-01-09T01:33:36Z,2026-01-10T22:21:36Z,44.8,9,0,0,0
OT_00034,Reparación,Alta,Norte,Call center,48,Cerrada,2026-03-29T02:13:17Z,2026-03-31T00:42:41Z,46.49,11,2,1,0
OT_00035,Mantenimiento,Crítica,Norte,Web,24,Cerrada,2026-01-15T08:11:48Z,2026-01-19T01:31:36Z,89.33,15,6,1,1
OT_00036,Inspección,Baja,Sur,Call center,168,Cerrada,2026-03-15T12:24:25Z,2026-03-16T20:49:01Z,32.41,9,0,0,0
OT_00037,Instalación,Baja,Sur,Web,168,Cerrada,2026-02-25T09:36:36Z,2026-02-26T11:19:48Z,25.72,9,0,0,0
OT_00038,Mantenimiento,Baja,Este,Call center,168,Cerrada,2026-01-13T02:47:32Z,2026-01-14T02:04:56Z,23.29,9,0,0,0
OT_00039,Instalación,Media,Norte,Call center,96,Cerrada,2026-01-14T19:08:28Z,2026-01-16T02:00:04Z,30.86,9,0,0,0
